exp_educ,SEX,age79,afqt,numkids84,black,hisp
13,"FEMALE",16,82,1,0,0
12,"FEMALE",17,8,0,0,0
14,"FEMALE",17,86,1,0,0
16,"FEMALE",17,48,,0,0
12,"FEMALE",17,42,0,0,0
12,"FEMALE",16,88,,0,0
16,"FEMALE",17,73,0,0,0
16,"FEMALE",17,84,0,0,0
12,"FEMALE",16,44,0,0,0
16,"FEMALE",17,99,0,0,0
12,"FEMALE",16,50,0,0,0
16,"FEMALE",17,66,1,0,0
16,"FEMALE",17,63,0,0,0
13,"FEMALE",16,63,0,0,0
17,"FEMALE",17,78,0,0,0
17,"FEMALE",17,89,0,0,0
14,"FEMALE",17,84,0,0,0
12,"FEMALE",16,27,0,0,0
12,"FEMALE",16,70,0,1,0
14,"FEMALE",17,80,0,0,0
13,"FEMALE",16,30,0,0,0
12,"FEMALE",16,36,1,0,0
12,"FEMALE",16,20,,0,0
14,"FEMALE",17,54,0,0,0
12,"FEMALE",16,74,0,0,0
18,"FEMALE",17,76,1,0,0
16,"FEMALE",17,67,0,0,0
16,"FEMALE",16,25,0,0,0
14,"FEMALE",17,56,0,0,0
9,"FEMALE",17,44,1,0,0
16,"FEMALE",17,51,2,0,0
12,"FEMALE",17,51,0,0,0
12,"FEMALE",16,7,2,0,0
17,"FEMALE",17,53,0,0,0
16,"FEMALE",16,23,0,0,0
12,"FEMALE",16,39,0,0,0
16,"FEMALE",16,74,0,0,0
16,"FEMALE",16,32,,0,0
12,"FEMALE",16,28,1,0,0
12,"FEMALE",17,40,0,0,0
12,"FEMALE",17,28,0,0,0
16,"FEMALE",17,61,0,0,0
14,"FEMALE",17,51,0,0,0
14,"FEMALE",17,16,0,1,0
14,"FEMALE",17,54,0,0,0
14,"FEMALE",17,41,0,0,0
12,"FEMALE",17,12,2,0,0
16,"FEMALE",17,74,0,0,0
12,"FEMALE",17,8,2,1,0
16,"FEMALE",16,22,1,1,0
12,"FEMALE",17,22,0,1,0
14,"FEMALE",17,15,2,1,0
12,"FEMALE",16,15,1,1,0
12,"FEMALE",17,16,0,1,0
12,"FEMALE",16,7,0,0,0
16,"FEMALE",17,89,0,0,0
13,"FEMALE",17,39,0,0,0
12,"FEMALE",16,69,,0,0
12,"FEMALE",17,56,0,0,0
16,"FEMALE",17,64,0,0,0
14,"FEMALE",16,69,0,0,0
12,"FEMALE",17,37,1,0,0
12,"FEMALE",17,5,1,1,0
12,"FEMALE",17,3,0,1,0
12,"FEMALE",16,35,1,0,1
15,"FEMALE",16,7,2,0,1
10,"FEMALE",17,24,1,0,0
16,"FEMALE",16,79,0,0,0
12,"FEMALE",17,48,1,0,0
14,"FEMALE",16,44,0,0,0
12,"FEMALE",16,17,0,0,0
12,"FEMALE",16,59,0,0,0
12,"FEMALE",16,23,0,0,0
12,"FEMALE",16,85,0,0,0
17,"FEMALE",17,49,0,0,0
,"FEMALE",16,39,0,0,0
16,"FEMALE",16,65,0,0,0
14,"FEMALE",16,13,0,0,0
12,"FEMALE",16,19,0,0,0
16,"FEMALE",16,52,0,0,0
16,"FEMALE",17,99,0,0,0
17,"FEMALE",17,75,0,0,1
16,"FEMALE",17,88,0,0,0
16,"FEMALE",16,75,1,0,0
12,"FEMALE",17,22,2,0,0
12,"FEMALE",16,66,1,0,0
12,"FEMALE",16,86,0,0,0
18,"FEMALE",17,75,0,0,0
16,"FEMALE",17,67,0,0,0
12,"FEMALE",16,8,1,0,1
16,"FEMALE",16,45,0,0,1
13,"FEMALE",16,13,0,0,1
14,"FEMALE",16,32,2,0,1
12,"FEMALE",16,9,2,0,1
14,"FEMALE",16,31,0,0,1
14,"FEMALE",17,63,0,0,1
12,"FEMALE",17,44,2,0,1
10,"FEMALE",16,5,0,0,1
15,"FEMALE",16,26,1,0,1
16,"FEMALE",16,58,0,0,1
16,"FEMALE",16,29,0,0,1
9,"FEMALE",16,2,2,0,1
12,"FEMALE",17,16,0,0,1
12,"FEMALE",17,27,1,0,1
14,"FEMALE",17,19,1,0,0
16,"FEMALE",17,32,0,0,0
16,"FEMALE",16,48,0,0,0
12,"FEMALE",17,13,0,1,0
18,"FEMALE",16,79,0,0,0
15,"FEMALE",16,22,1,1,0
16,"FEMALE",16,4,2,1,0
12,"FEMALE",16,12,0,1,0
12,"FEMALE",16,23,0,1,0
16,"FEMALE",16,43,0,0,0
14,"FEMALE",17,76,0,0,0
17,"FEMALE",17,94,0,0,0
18,"FEMALE",16,99,0,0,0
12,"FEMALE",16,25,0,0,0
16,"FEMALE",17,78,0,0,0
16,"FEMALE",16,91,0,0,0
16,"FEMALE",16,51,0,0,0
8,"FEMALE",17,9,0,0,0
14,"FEMALE",17,35,0,0,0
12,"FEMALE",16,40,0,0,0
18,"FEMALE",16,68,0,0,0
17,"FEMALE",16,39,0,0,0
14,"FEMALE",16,67,0,0,0
16,"FEMALE",16,54,0,0,0
16,"FEMALE",17,59,0,1,0
12,"FEMALE",16,39,0,0,0
12,"FEMALE",17,35,0,0,0
10,"FEMALE",16,36,0,0,0
12,"FEMALE",17,42,0,0,0
14,"FEMALE",16,42,0,0,0
12,"FEMALE",16,34,2,0,0
16,"FEMALE",17,50,1,1,0
16,"FEMALE",17,24,0,0,0
16,"FEMALE",16,84,0,0,0
12,"FEMALE",16,49,0,0,0
14,"FEMALE",17,49,1,0,0
12,"FEMALE",16,49,1,0,0
14,"FEMALE",17,99,0,0,0
14,"FEMALE",16,42,0,0,0
14,"FEMALE",16,76,0,0,0
12,"FEMALE",17,27,0,0,0
14,"FEMALE",17,74,0,0,0
12,"FEMALE",16,32,0,0,0
18,"FEMALE",17,95,0,0,0
14,"FEMALE",17,36,1,0,0
12,"FEMALE",17,53,0,0,0
16,"FEMALE",17,81,0,0,0
9,"FEMALE",17,4,,0,0
14,"FEMALE",17,34,0,0,0
16,"FEMALE",17,73,0,0,0
16,"FEMALE",17,76,0,0,0
14,"FEMALE",16,35,0,0,0
12,"FEMALE",17,19,0,1,0
12,"FEMALE",17,21,1,1,0
17,"FEMALE",17,87,,0,0
16,"FEMALE",17,70,0,0,0
16,"FEMALE",16,12,0,1,0
12,"FEMALE",17,17,0,0,0
12,"FEMALE",16,88,1,0,0
12,"FEMALE",16,46,0,0,0
16,"FEMALE",16,76,0,0,0
14,"FEMALE",17,52,0,0,0
16,"FEMALE",17,61,0,0,0
16,"FEMALE",17,99,0,0,0
12,"FEMALE",17,22,1,0,0
17,"FEMALE",16,23,,0,0
18,"FEMALE",17,45,0,0,1
12,"FEMALE",17,14,0,0,1
17,"FEMALE",16,90,0,0,0
16,"FEMALE",17,82,0,0,1
16,"FEMALE",17,12,1,1,0
8,"FEMALE",16,5,2,0,0
17,"FEMALE",17,80,0,0,0
14,"FEMALE",17,80,0,0,0
16,"FEMALE",17,37,0,0,0
14,"FEMALE",17,16,0,0,0
15,"FEMALE",16,72,0,0,0
18,"FEMALE",17,99,0,0,0
16,"FEMALE",16,74,0,0,0
16,"FEMALE",16,54,0,0,0
12,"FEMALE",16,55,0,0,0
16,"FEMALE",16,55,0,0,0
16,"FEMALE",17,40,0,0,0
12,"FEMALE",17,64,1,0,0
14,"FEMALE",16,67,0,0,0
16,"FEMALE",16,87,0,0,0
18,"FEMALE",17,87,0,0,0
16,"FEMALE",17,93,0,0,0
12,"FEMALE",16,14,0,0,0
14,"FEMALE",16,21,0,0,0
10,"FEMALE",17,15,0,0,0
16,"FEMALE",17,57,0,0,0
18,"FEMALE",16,93,0,0,0
12,"FEMALE",16,22,0,0,0
16,"FEMALE",17,78,0,0,0
16,"FEMALE",17,20,0,0,0
12,"FEMALE",16,75,0,0,0
12,"FEMALE",16,65,0,0,0
18,"FEMALE",16,52,0,0,0
16,"FEMALE",17,26,0,0,0
16,"FEMALE",17,59,0,0,1
13,"FEMALE",16,8,1,1,0
17,"FEMALE",16,16,0,1,0
14,"FEMALE",16,27,0,0,0
16,"FEMALE",17,92,0,0,0
14,"FEMALE",16,58,0,0,0
14,"FEMALE",17,17,0,0,0
12,"FEMALE",16,35,,0,0
17,"FEMALE",16,99,0,0,0
16,"FEMALE",16,91,0,0,0
15,"FEMALE",16,66,0,0,0
12,"FEMALE",16,11,,0,0
12,"FEMALE",16,15,2,0,0
12,"FEMALE",17,36,1,0,0
10,"FEMALE",16,12,1,0,0
12,"FEMALE",17,16,1,0,0
12,"FEMALE",17,19,3,0,0
13,"FEMALE",17,36,0,0,0
16,"FEMALE",17,72,0,0,0
16,"FEMALE",17,70,0,0,0
17,"FEMALE",16,88,0,0,0
16,"FEMALE",17,55,0,0,0
16,"FEMALE",16,55,0,0,0
12,"FEMALE",16,15,1,1,0
11,"FEMALE",16,56,0,0,0
12,"FEMALE",17,54,2,0,0
16,"FEMALE",16,71,0,0,0
14,"FEMALE",17,44,0,0,0
14,"FEMALE",17,28,1,0,0
12,"FEMALE",17,15,0,0,0
12,"FEMALE",16,18,0,0,0
13,"FEMALE",17,82,0,0,0
16,"FEMALE",17,75,0,0,0
12,"FEMALE",17,33,1,0,0
9,"FEMALE",17,78,0,0,0
12,"FEMALE",17,55,0,0,0
14,"FEMALE",17,56,0,0,0
16,"FEMALE",17,94,,0,0
12,"FEMALE",17,88,0,0,0
18,"FEMALE",17,46,0,0,0
16,"FEMALE",16,63,0,0,0
16,"FEMALE",17,90,0,0,0
16,"FEMALE",16,77,2,0,0
12,"FEMALE",16,13,0,1,0
16,"FEMALE",17,39,2,1,0
9,"FEMALE",16,2,0,1,0
13,"FEMALE",16,32,0,0,0
12,"FEMALE",17,90,0,0,0
16,"FEMALE",16,56,1,0,0
12,"FEMALE",17,38,0,0,0
12,"FEMALE",17,35,1,0,0
12,"FEMALE",16,30,0,0,0
16,"FEMALE",17,53,0,0,0
18,"FEMALE",16,54,0,0,0
14,"FEMALE",17,27,0,0,0
16,"FEMALE",17,73,0,0,0
16,"FEMALE",17,85,0,0,0
18,"FEMALE",16,56,0,0,0
12,"FEMALE",17,5,0,1,0
12,"FEMALE",16,3,0,1,0
12,"FEMALE",16,16,1,1,0
9,"FEMALE",17,6,1,0,0
12,"FEMALE",17,20,2,1,0
14,"FEMALE",16,59,0,0,0
12,"FEMALE",16,25,1,0,0
14,"FEMALE",16,32,1,1,0
16,"FEMALE",17,91,0,0,0
12,"FEMALE",17,53,0,0,0
16,"FEMALE",17,54,0,0,0
12,"FEMALE",17,27,1,0,0
14,"FEMALE",17,52,,0,0
12,"FEMALE",17,66,0,0,0
16,"FEMALE",17,39,0,0,0
