afqt,income,educ,age,black,hisp,coll,grad,hs,max_coll,mom_hs,mom_coll,dad_hs,dad_coll,ageyears
88,120000,19,"44",0,0,1,0,1,1,1,1,1,1,44
58,72000,12,"47",0,0,0,0,1,0,1,0,0,0,47
35,100000,12,"41",0,0,0,0,1,0,1,0,1,0,41
48,57000,12,"41",0,0,0,0,1,0,1,0,1,0,41
70,80000,14,"43",0,0,0,0,1,0,1,0,1,1,43
65,40000,13,"39",0,0,0,0,1,0,1,0,1,0,39
70,83000,12,"44",0,0,0,0,1,0,1,1,1,0,44
28,43000,12,"45",0,0,0,0,1,0,1,0,1,0,45
46,90000,14,"43",1,0,0,0,1,0,0,0,0,0,43
7,7800,12,"41",1,0,0,0,1,0,0,0,0,0,41
29,52000,16,"45",1,0,1,0,1,1,1,0,0,0,45
16,265933,12,"44",0,0,0,0,1,0,0,0,0,0,44
4,45000,12,"40",0,0,0,0,0,0,0,0,0,0,40
13,50000,12,"41",0,0,0,0,1,0,0,0,0,0,41
16,26000,10,"41",0,0,0,0,0,0,0,0,0,0,41
25,58660,12,"45",0,0,0,0,1,0,1,0,1,0,45
46,71000,11,"47",0,0,0,0,0,0,0,0,1,1,47
99,50000,16,"43",0,0,1,0,1,1,1,0,1,1,43
80,50,19,"41",0,0,1,1,1,0,1,0,1,1,41
93,109000,18,"47",0,0,1,1,1,0,1,0,1,0,47
95,65000,16,"44",0,0,1,0,1,1,1,0,1,1,44
62,49000,20,"42",0,0,1,1,1,0,1,0,1,0,42
36,30000,13,"44",0,0,0,0,1,0,1,0,1,0,44
97,100000,16,"40",0,0,1,0,1,1,1,0,1,0,40
58,45000,13,"40",0,0,0,0,1,0,1,0,1,1,40
66,57000,17,"42",0,0,1,1,1,0,1,0,1,1,42
99,30000,19,"47",0,0,1,0,1,1,1,0,1,1,47
98,35000,18,"44",0,0,1,1,1,0,1,0,0,0,44
46,75000,12,"44",0,0,0,0,0,0,1,0,1,0,44
92,35000,12,"46",0,0,0,0,1,0,1,0,1,0,46
84,71500,13,"46",0,0,0,0,1,0,1,0,1,0,46
39,65000,12,"41",1,0,0,0,1,0,0,0,1,0,41
4,15912,11,"42",1,0,0,0,0,0,0,0,0,0,42
62,62000,16,"42",0,0,1,0,1,1,1,1,1,1,42
51,54000,12,"41",0,0,0,0,1,0,0,0,1,0,41
53,35000,13,"40",0,0,1,0,1,1,0,0,1,0,40
23,10000,12,"41",0,0,0,0,1,0,1,1,1,1,41
28,64000,12,"42",0,0,0,0,1,0,1,1,1,0,42
5,32000,12,"41",0,0,0,0,1,0,0,0,0,0,41
3,60000,12,"46",1,0,0,0,0,0,1,0,0,0,46
17,58000,17,"41",1,0,1,0,1,1,1,1,0,0,41
8,25000,12,"46",1,0,0,0,1,0,1,0,0,0,46
3,2000,12,"40",1,0,0,0,1,0,0,0,0,0,40
9,19000,8,"43",0,0,0,0,0,0,0,0,0,0,43
25,32000,11,"45",0,0,0,0,0,0,0,0,0,0,45
54,95000,16,"42",0,0,1,0,1,1,1,0,1,0,42
49,37000,12,"41",0,0,0,0,1,0,1,0,1,0,41
11,15000,12,"43",0,0,0,0,0,0,1,0,1,0,43
